Name,Symbol,Price,Market Capitalization,Weight,Number of Shares to Buy,Portfolio Allocation
Cognizant Technology Solutions Corporation,CTSH,67.76,34386640978,0.08136787253605096,12,813.12
"CBRE Group, Inc.",CBRE,88.36,27465115520,0.0649897156354716,7,618.52
"Fidelity National Information Services, Inc.",FIS,61.49,36428643680,0.08619979013105275,14,860.86
CME Group Inc.,CME,198.75,71493357840,0.16917216286467723,8,1590.0
"Juniper Networks, Inc.",JNPR,29.67,9541634640,0.022578027079463943,7,207.69
Kimco Realty Corporation,KIM,20.73,12850360497,0.030407346144427486,14,290.22
"Boston Properties, Inc.",BXP,65.57,10283671475,0.024333882169990623,3,196.71
Alphabet Inc.,GOOG,129.66,1643855402146,3.889795950557952,299,38768.34
"VeriSign, Inc.",VRSN,210.84,21947600640,0.051933818499172814,2,421.68
The Estée Lauder Companies Inc.,EL,178.07,63644531485,0.15059976718288234,8,1424.56
"Amazon.com, Inc.",AMZN,128.15,1314870276403,3.1113302727140657,242,31012.3
Lennar Corporation,LEN,127.22,36168773474,0.08558486860349634,6,763.32
"Ameriprise Financial, Inc.",AMP,354.48,37319299920,0.08830731797758257,2,708.96
Public Storage,PSA,295.57,51964752840,0.12296232679887759,4,1182.28
"Tyson Foods, Inc.",TSN,55.04,19572830045,0.046314484200136535,8,440.32
"Constellation Brands, Inc.",STZ,272.2,49875750400,0.11801919541322792,4,1088.8
"D.R. Horton, Inc.",DHI,128.64,43509007749,0.10295380112746892,8,1029.12
Laboratory Corporation of America Holdings,LH,218.84,19389224000,0.045880023815478246,2,437.68
"Tapestry, Inc.",TPR,42.47,9844461060,0.02329459435216944,5,212.35
Thermo Fisher Scientific Inc.,TMO,574.41,221561995015,0.5242741848716107,9,5169.69
"Gilead Sciences, Inc.",GILD,77.19,96282947735,0.22783087838410898,29,2238.51
Viatris Inc.,VTRS,10.48,12565834568,0.029734082665773515,28,293.44
M&T Bank Corporation,MTB,140.44,23298153360,0.055129582855583316,3,421.32
Biogen Inc.,BIIB,265.25,38392815500,0.09084753930756911,3,795.75
"Prologis, Inc.",PLD,129.28,119385682412,0.28249804903433384,21,2714.88
Gen Digital Inc.,GEN,19.74,12648819698,0.029930447396034537,15,296.1
"McCormick & Company, Incorporated",MKC,89.93,24125880820,0.05708820459194189,6,539.58
State Street Corporation,STT,71.47,23020557898,0.054472718691879356,7,500.29
Valero Energy Corporation,VLO,126.18,45616214051,0.1079400076574407,8,1009.44
Quest Diagnostics Incorporated,DGX,136.24,15260106160,0.03610944068971127,2,272.48
Comcast Corporation,CMCSA,42.91,178478994427,0.42232842917660707,98,4205.18
"The Travelers Companies, Inc.",TRV,174.16,39872538720,0.09434895517516216,5,870.8
Elevance Health Inc.,ELV,469.59,110657944320,0.2618459161013079,5,2347.95
Electronic Arts Inc.,EA,138.83,37778001999,0.08939272821930908,6,832.98
eBay Inc.,EBAY,48.8,26095165210,0.06174805145908054,12,585.6
"The Goldman Sachs Group, Inc.",GS,357.56,118870106880,0.28127806118506055,7,2502.92
"Principal Financial Group, Inc.",PFG,84.1,20417378173,0.04831290807857322,5,420.5
"Prudential Financial, Inc.",PRU,96.83,35342950000,0.08363075220077178,8,774.64
"United Parcel Service, Inc.",UPS,184.39,158369993965,0.3747452241910943,20,3687.8
"Simon Property Group, Inc.",SPG,124.17,46473976083,0.1099696991219456,8,993.36
Waters Corporation,WAT,289.92,17115021312,0.04049865973991418,1,289.92
Equity Residential,EQR,67.37,25526829311,0.06040321864981951,8,538.96
NVIDIA Corporation,NVDA,454.52,1122664458179,2.656520553790265,58,26362.16
PPL Corporation,PPL,28.06,20682128978,0.04893937839211269,17,477.02
AmerisourceBergen Corporation,ABC,187.71,37966038392,0.08983767197719317,4,750.84
"Zimmer Biomet Holdings, Inc.",ZBH,141.82,29610314160,0.07006582206923767,4,567.28
"Zions Bancorporation, National Association",ZION,38.45,5696136800,0.01347856376512139,3,115.35
"Fiserv, Inc.",FI,127.3,78583565037,0.18594946530107362,14,1782.2
Cintas Corporation,CTAS,516.52,52546612640,0.12433916072896523,2,1033.04
Sempra,SRE,151.95,47811522134,0.11313468626501944,7,1063.65
Stryker Corporation,SYK,290.12,110131872960,0.26060109235150536,8,2320.96
"MetLife, Inc.",MET,62.85,48131849347,0.11389266503514381,18,1131.3
Intuit Inc.,INTU,496.86,139150611600,0.329267090531646,6,2981.16
Robert Half International Inc.,RHI,75.43,8128563090,0.019234326662831758,2,150.86
"EOG Resources, Inc.",EOG,129.32,75633966915,0.17896993728677815,13,1681.16
NiSource Inc.,NI,28.43,11743381317,0.027787941100592902,9,255.87
Devon Energy Corporation,DVN,53.15,34106353299,0.08070463787603026,15,797.25
Starbucks Corporation,SBUX,101.73,116623272000,0.27596145656984505,27,2746.71
"Agilent Technologies, Inc.",A,128.47,37946954720,0.08979251497009239,6,770.82
"Analog Devices, Inc.",ADI,191.52,96031572296,0.22723605771836466,11,2106.72
Pinnacle West Capital Corporation,PNW,84.74,9597313440,0.022709777822558005,2,169.48
QUALCOMM Incorporated,QCOM,124.02,138158280000,0.3269189719354169,26,3224.52
Vulcan Materials Company,VMC,223.46,29733364140,0.0703569908139432,3,670.38
"Best Buy Co., Inc.",BBY,84.22,18377731094,0.04348656450960467,5,421.1
"NetApp, Inc.",NTAP,78.4,16654591027,0.03940916010644935,5,392.0
Aflac Incorporated,AFL,72.77,43969599372,0.10404368252924395,14,1018.78
McKesson Corporation,MCK,403.79,54718791040,0.12947910839904564,3,1211.37
Carnival Corporation & plc,CCL,17.65,23052136241,0.054547441389852895,30,529.5
Danaher Corporation,DHR,264.87,195447310249,0.46247994498878786,17,4502.79
The AES Corporation,AES,21.9,14658458400,0.03468578322114372,15,328.5
"Paychex, Inc.",PAYX,127.75,46059749456,0.10898952954363934,8,1022.0
Regions Financial Corporation,RF,20.23,18982031044,0.0449164977600376,22,445.06
Capital One Financial Corporation,COF,114.04,43494856000,0.10292031435248758,9,1026.36
Moody's Corporation,MCO,359.25,65922375000,0.15598974641650887,4,1437.0
"Marriott International, Inc.",MAR,193.73,58768767320,0.13906242169608746,7,1356.11
"Franklin Resources, Inc.",BEN,29.0,14525027232,0.03437004984442028,11,319.0
Northern Trust Corporation,NTRS,79.85,16636108700,0.03936542604040702,4,319.4
Omnicom Group Inc.,OMC,82.91,16380612273,0.03876085402888508,4,331.64
Cincinnati Financial Corporation,CINF,103.62,16290410231,0.03854741217916666,3,310.86
Truist Financial Corporation,TFC,33.36,44434853868,0.10514459751979428,31,1034.16
FirstEnergy Corp.,FE,40.02,22924936420,0.05424645302555299,13,520.26
"Yum! Brands, Inc.",YUM,137.3,38455946198,0.09099692320904591,6,823.8
KLA Corporation,KLAC,457.85,62816565813,0.14864058177403058,3,1373.55
Huntington Bancshares Incorporated,HBAN,12.17,17620698821,0.041695226253141926,34,413.78
The Progressive Corporation,PGR,126.23,73882414961,0.17482530285666545,13,1640.99
APA Corporation,APA,39.99,12340874330,0.0292017673406746,7,279.93
Equifax Inc.,EFX,203.5,24969450000,0.05908431202091395,2,407.0
The Charles Schwab Corporation,SCHW,66.62,117860104668,0.27888812925481693,41,2731.42
"Cardinal Health, Inc.",CAH,92.28,23494488000,0.055594162457067275,6,553.68
Adobe Inc.,ADBE,514.55,234531890000,0.5549643811783868,10,5145.5
"AutoZone, Inc.",AZO,2492.73,45258005880,0.10709239253801257,0,0.0
Aon plc,AON,341.25,69698947500,0.16492611417629544,4,1365.0
Fifth Third Bancorp,FITB,28.53,19424650044,0.04596385119002445,16,456.48
Comerica Incorporated,CMA,53.47,7040394900,0.01665943338848278,3,160.41
The Allstate Corporation,ALL,112.96,29691761920,0.07025854897612767,6,677.76
"Darden Restaurants, Inc.",DRI,169.02,20463420420,0.04842185619268434,2,338.04
Loews Corporation,L,61.63,14045353000,0.03323501395088317,5,308.15
The Bank of New York Mellon Corporation,BK,45.62,35528035570,0.0840687135322568,18,821.16
"Applied Materials, Inc.",AMAT,139.02,116741629052,0.27624152060770907,19,2641.38
Corning Incorporated,GLW,34.4,29244471450,0.06920014161459342,20,688.0
Boston Scientific Corporation,BSX,52.4,75335478323,0.17826363446054805,34,1781.6
Paramount Global,PARA,15.49,10192946598,0.02411920315460474,15,232.35
"Micron Technology, Inc.",MU,67.38,73801311844,0.17463339146611834,25,1684.5
Southwest Airlines Co.,LUV,36.26,21577347850,0.05105770263074264,14,507.64
UnitedHealth Group Incorporated,UNH,508.0,472964256000,1.1191583185149623,22,11176.0
Microsoft Corporation,MSFT,337.77,2511485387044,5.942837597306851,175,59109.75
KeyCorp,KEY,12.42,11621803761,0.027500256499873057,22,273.24
Eastman Chemical Company,EMN,88.02,10487759040,0.024816807239227176,2,176.04
"Cisco Systems, Inc.",CSCO,53.22,216874691497,0.5131827870396906,96,5109.12
Costco Wholesale Corporation,COST,566.17,250897103160,0.5936887968396931,10,5661.7
Morgan Stanley,MS,93.54,155182865987,0.36720363781643495,39,3648.06
"The Interpublic Group of Companies, Inc.",IPG,32.81,12665742468,0.02997049113840524,9,295.29
Linde plc,LIN,388.21,190066448264,0.44974740468600927,11,4270.31
Amgen Inc.,AMGN,235.21,125679055552,0.29738983168344296,12,2822.52
Ameren Corporation,AEE,88.1,23135852195,0.054745535442676026,6,528.6
"Autodesk, Inc.",ADSK,212.75,45470206500,0.10759451523767603,5,1063.75
Kellogg Company,K,67.54,23149876401,0.054778720417240925,8,540.32
Oracle Corporation,ORCL,115.5,313497026304,0.7418167448531788,64,7392.0
Globe Life Inc.,GL,114.0,10893247200,0.02577629929717103,2,228.0
Newell Brands Inc.,NWL,10.46,4331486000,0.010249439628755158,9,94.14
Ecolab Inc.,ECL,188.96,53800878648,0.12730708529974666,6,1133.76
"NIKE, Inc.",NKE,109.3,167993006891,0.3975158137836192,36,3934.8
Citigroup Inc.,C,47.49,91451491480,0.21639837711212198,45,2137.05
"The PNC Financial Services Group, Inc.",PNC,136.01,54131980000,0.1280905585277158,9,1224.09
"The Home Depot, Inc.",HD,329.59,331363183653,0.7840927907982461,23,7580.57
Avery Dennison Corporation,AVY,180.62,14581146268,0.03450284230213709,1,180.62
"Marsh & McLennan Companies, Inc.",MMC,192.0,94839164928,0.22441450702393811,11,2112.0
Sysco Corporation,SYY,75.45,38298721800,0.09062488876740894,12,905.4
Medtronic plc,MDT,90.4,120269062554,0.2845883597117019,31,2802.4
Illinois Tool Works Inc.,ITW,255.4,77616828243,0.18366191077429012,7,1787.8
Parker-Hannifin Corporation,PH,393.76,50517832960,0.1195385322956273,3,1181.28
Dover Corporation,DOV,146.8,20530127974,0.048579703879945695,3,440.4
"The TJX Companies, Inc.",TJX,87.42,100466566395,0.2377304248412379,27,2360.34
"CenterPoint Energy, Inc.",CNP,31.2,19688104550,0.04658725411783502,14,436.8
"Revvity, Inc.",RVTY,129.83,16286005030,0.03853698831038305,2,259.66
"Air Products and Chemicals, Inc.",APD,303.01,67305492654,0.1592625680057137,5,1515.05
Nucor Corporation,NUE,168.91,42434078281,0.10041023416512947,5,844.55
Ball Corporation,BALL,59.46,18703024080,0.04425629360988677,7,416.22
"Hasbro, Inc.",HAS,64.06,8879292028,0.021010749564254153,3,192.18
Hess Corporation,HES,147.62,45327016240,0.10725568927233856,7,1033.34
"PulteGroup, Inc.",PHM,84.3,18817783200,0.044527843990585,5,421.5
"Lowe's Companies, Inc.",LOW,234.07,137160570797,0.3245581285105041,13,3042.91
AT&T Inc.,T,14.89,106448612859,0.25188552636740613,169,2516.41
Verizon Communications Inc.,VZ,34.34,144365017149,0.3416057509531091,99,3399.66
"Bath & Body Works, Inc.",BBWI,35.97,8233964640,0.019483734561992053,5,179.85
"Conagra Brands, Inc.",CAG,33.17,15824080200,0.03744395218880538,11,364.87
Apple Inc.,AAPL,194.5,3059232230912,7.238951265472059,372,72354.0
Brown-Forman Corporation,BF-B,70.36,33971144629,0.08038469846021563,11,773.96
Snap-on Incorporated,SNA,269.0,14234538500,0.03368267679935731,1,269.0
"Stanley Black & Decker, Inc.",SWK,97.15,14877843227,0.035204905651598624,3,291.45
Walmart Inc.,WMT,159.74,430154251377,1.017858543359238,63,10063.62
"W.W. Grainger, Inc.",GWW,762.12,38233274040,0.09047002208540714,1,762.12
Masco Corporation,MAS,61.61,13867732797,0.03281471764899146,5,308.05
"Automatic Data Processing, Inc.",ADP,253.45,104706026378,0.247762106613794,9,2281.05
FedEx Corporation,FDX,268.13,67350772455,0.15936971197126074,5,1340.65
PACCAR Inc,PCAR,84.61,44213379227,0.10462053003758846,12,1015.32
"American International Group, Inc.",AIG,60.84,44033133980,0.1041940221884354,17,1034.28
"Walgreens Boots Alliance, Inc.",WBA,30.85,26631601603,0.06301740161390515,20,617.0
V.F. Corporation,VFC,19.67,7646063233,0.018092604594422787,9,177.03
Textron Inc.,TXT,68.4,13794912000,0.03264240441455659,4,273.6
Intel Corporation,INTC,34.36,143315562199,0.3391224634270445,98,3367.28
Target Corporation,TGT,134.47,62065973200,0.14686448145355557,10,1344.7
American Express Company,AXP,167.75,124678681776,0.295022683175217,17,2851.75
Bank of America Corporation,BAC,32.41,257774881674,0.6099634369191468,188,6093.08
Cigna Corporation,CI,290.69,86007031680,0.20351534758569975,7,2034.83
The Walt Disney Company,DIS,85.86,156891975252,0.37124784163714775,43,3691.98
Duke Energy Corporation,DUK,95.56,73643508178,0.17425998632343445,18,1720.08
Lincoln National Corporation,LNC,28.22,4784955206,0.011322467511194704,4,112.88
"NextEra Energy, Inc.",NEE,74.37,150481747780,0.35607955078249603,47,3495.39
Molson Coors Beverage Company,TAP,70.49,15235285660,0.03605070883272142,5,352.45
Wells Fargo & Company,WFC,46.44,170326595543,0.40303770073119843,86,3993.84
International Flavors & Fragrances Inc.,IFF,87.07,22210774067,0.052556556319848936,6,522.42
JPMorgan Chase & Co.,JPM,157.76,458466330952,1.084852399594367,68,10727.68
"The Williams Companies, Inc.",WMB,34.07,41503731665,0.09820878840852106,28,953.96
HP Inc.,HPQ,33.04,32575985183,0.07708338281143724,23,759.92
Genuine Parts Company,GPC,157.97,22184990860,0.05249554644388899,3,473.91
Johnson & Johnson,JNJ,172.72,448852642836,1.0621038749645695,61,10535.92
Baxter International Inc.,BAX,48.95,24761356717,0.05859190836515748,11,538.45
"Becton, Dickinson and Company",BDX,282.8,80319444262,0.19005701391590182,6,1696.8
Eli Lilly and Company,LLY,453.59,430580750956,1.0188677539827167,22,9978.98
McDonald's Corporation,MCD,291.75,213004929168,0.504025907537202,17,4959.75
Newmont Corporation,NEM,43.45,34531062298,0.08170961151441661,18,782.1
The Clorox Company,CLX,153.68,18983322000,0.04491955250281765,2,307.36
Cummins Inc.,CMI,256.22,36265378800,0.0858134623139812,3,768.66
Emerson Electric Co.,EMR,92.39,52800887956,0.12494084326942008,13,1201.07
The Sherwin-Williams Company,SHW,280.9,72441301000,0.17141524669085406,6,1685.4
Abbott Laboratories,ABT,114.08,198379417825,0.4694180857527723,41,4677.28
Archer-Daniels-Midland Company,ADM,86.9,47328782195,0.1119923960992035,12,1042.8
"American Electric Power Company, Inc.",AEP,87.61,45100840211,0.10672049706469731,12,1051.32
The Boeing Company,BA,232.8,140051079475,0.33139783529740213,14,3259.2
Bristol-Myers Squibb Company,BMY,63.41,133214901544,0.31522163318218976,49,3107.09
Caterpillar Inc.,CAT,258.32,133382495104,0.3156182037991531,12,3099.84
Colgate-Palmolive Company,CL,77.96,64673121280,0.1530336822426577,19,1481.24
CMS Energy Corporation,CMS,63.42,18496823520,0.04376836863653224,6,380.52
ConocoPhillips,COP,116.83,141371313539,0.3345218577079084,28,3271.24
Campbell Soup Company,CPB,46.19,13768869480,0.03258078093556563,7,323.33
CSX Corporation,CSX,32.95,66108572973,0.15643033998722805,47,1548.65
CVS Health Corporation,CVS,75.1,96280449395,0.22782496665196852,30,2253.0
Chevron Corporation,CVX,161.34,301617060419,0.7137056085987897,44,7098.96
Deere & Company,DE,432.95,126937476400,0.30036758770277283,6,2597.7
DTE Energy Company,DTE,115.87,23881848903,0.05651076063834701,4,463.48
"Consolidated Edison, Inc.",ED,97.5,33787650000,0.07995050171523334,8,780.0
Edison International,EIX,72.1,27613074877,0.06533982654361742,9,648.9
Eaton Corporation plc,ETN,203.04,80914077896,0.19146407411023472,9,1827.36
Entergy Corporation,ETR,104.39,22072953165,0.052230435673348036,5,521.95
Exelon Corporation,EXC,43.2,42965381837,0.10166743867225819,23,993.6
Ford Motor Company,F,13.67,53722006400,0.1271204527343268,92,1257.64
General Dynamics Corporation,GD,222.78,61116574080,0.14461795244156447,6,1336.68
General Electric Company,GE,114.72,125076914258,0.2959650063831111,25,2868.0
"General Mills, Inc.",GIS,75.74,44321758602,0.10487698425700988,13,984.62
Halliburton Company,HAL,38.21,34472871256,0.0815719161433792,21,802.41
"The Hartford Financial Services Group, Inc.",HIG,75.66,23472380705,0.055541850759544174,7,529.62
Honeywell International Inc.,HON,208.26,138633890354,0.32804439162051663,15,3123.9
The Hershey Company,HSY,240.44,49145698205,0.11629169914555149,4,961.76
Howmet Aerospace Inc.,HWM,50.48,20862930084,0.049367201550437376,9,454.32
International Business Machines Corporation,IBM,141.07,128097907021,0.30311347297016106,21,2962.47
International Paper Company,IP,33.77,11720114620,0.027732885951791304,8,270.16
Kimberly-Clark Corporation,KMB,131.89,44497179035,0.10529207532222018,7,923.23
The Coca-Cola Company,KO,63.05,272664758912,0.6451968182184183,102,6431.1
The Kroger Co.,KR,48.71,34961406881,0.08272792043265398,16,779.36
Lockheed Martin Corporation,LMT,452.81,114031598732,0.26982887327214433,5,2264.05
3M Company,MMM,112.64,62140334080,0.14704043893103583,13,1464.32
"Altria Group, Inc.",MO,45.56,81326422400,0.192439790088538,42,1913.52
"Merck & Co., Inc.",MRK,107.14,271861321600,0.6432956733861752,60,6428.4
Marathon Oil Corporation,MRO,26.11,16125639604,0.038157521367092315,14,365.54
"Motorola Solutions, Inc.",MSI,295.4,49543599437,0.11723323852847718,3,886.2
Northrop Grumman Corporation,NOC,457.16,69423864097,0.1642751942075085,3,1371.48
Norfolk Southern Corporation,NSC,236.93,53934745200,0.12762384890997963,5,1184.65
Occidental Petroleum Corporation,OXY,62.85,56046174758,0.13262004877882147,21,1319.85
Public Service Enterprise Group Incorporated,PEG,64.92,32392807281,0.07664993552617047,11,714.12
"PepsiCo, Inc.",PEP,191.6,263752721869,0.6241085853021725,32,6131.2
Pfizer Inc.,PFE,37.21,210061983314,0.49706212054556254,133,4948.93
The Procter & Gamble Company,PG,153.94,362831959337,0.8585562235702776,55,8466.7
"PPG Industries, Inc.",PPG,146.18,34427289171,0.0814640568940684,5,730.9
Raytheon Technologies Corporation,RTX,86.3,126096379238,0.29837732972113873,34,2934.2
Sealed Air Corporation,SEE,46.21,6672077060,0.01578789612268681,3,138.63
Schlumberger Limited,SLB,57.67,81949066309,0.19391312998978844,33,1903.11
The Southern Company,SO,73.09,79697336000,0.18858494149689392,25,1827.25
S&P Global Inc.,SPGI,428.41,137433928000,0.3252049638342784,7,2998.87
Union Pacific Corporation,UNP,238.0,145107404288,0.3433624349553994,14,3332.0
WestRock Company,WRK,32.28,8267876400,0.019563978740739212,6,193.68
Xcel Energy Inc.,XEL,65.05,35800655718,0.08471380478927766,13,845.65
Exxon Mobil Corporation,XOM,105.09,424876778289,1.0053706484871696,95,9983.55
"Dominion Energy, Inc.",D,54.45,45516987014,0.10770521028645261,19,1034.55
Freeport-McMoRan Inc.,FCX,43.41,62219118205,0.14722686297416834,33,1432.53
Humana Inc.,HUM,448.21,56001598450,0.1325145694634736,2,896.42
"Rockwell Automation, Inc.",ROK,333.96,38363655000,0.09077853786457833,2,667.92
"T. Rowe Price Group, Inc.",TROW,118.8,26672263200,0.06311361768932598,5,594.0
Texas Instruments Incorporated,TXN,176.0,159747106816,0.37800383683079974,21,3696.0
U.S. Bancorp,USB,38.89,59615261289,0.1410654499481402,36,1400.04
Whirlpool Corporation,WHR,143.57,7861591703,0.018602601865923368,1,143.57
"Waste Management, Inc.",WM,164.94,67100394660,0.15877725199465378,9,1484.46
Weyerhaeuser Company,WY,34.38,25176336480,0.059573860062109435,17,584.46
